x,y
0.428571,-2.61097
0.428571,-1.96891
0.428571,-1.82799
0.428571,0.047311
0.428571,1.58101
0.428571,2.24698
0.428571,2.53257
0.571429,-2.53257
0.571429,-2.24698
0.571429,-1.58101
0.571429,-0.047311
0.571429,1.82799
0.571429,1.96891
0.571429,2.61097
0.571429,-2.57852
0.571429,-2.13423
0.571429,-1.67221
0.571429,-1.34042e-09
0.571429,1.67221
0.571429,2.13423
0.571429,2.57852
0.571429,-2.61097
0.571429,-1.96891
0.571429,-1.82799
0.571429,0.047311
0.571429,1.58101
0.571429,2.24698
0.571429,2.53257
0.714286,-2.61289
0.714286,-2.59264
0.714286,-0.583184
0.714286,-0.189047
0.714286,0.801938
0.714286,2.45095
0.714286,2.72487
0.714286,-2.69161
0.714286,-2.4994
0.714286,-0.712935
0.714286,6.78407e-09
0.714286,0.712935
0.714286,2.4994
0.714286,2.69161
0.714286,-2.72487
0.714286,-2.45095
0.714286,-0.801938
0.714286,0.189047
0.714286,0.583184
0.714286,2.59264
0.714286,2.61289
0.857143,-3.19758
0.857143,-1.82022
0.857143,-0.554958
0.857143,-0.253448
0.857143,0.870365
0.857143,1.75254
0.857143,3.2033
0.857143,-3.19786
0.857143,-1.81731
0.857143,-0.58285
0.857143,-0.220879
0.857143,0.859703
0.857143,1.75616
0.857143,3.20303
0.857143,-3.19813
0.857143,-1.81437
0.857143,-0.606755
0.857143,-0.192116
0.857143,0.848881
0.857143,1.75973
0.857143,3.20276
0.857143,-3.19858
0.857143,-1.80956
0.857143,-0.640194
0.857143,-0.150393
0.857143,0.830986
0.857143,1.76542
0.857143,3.20232
0.857143,-3.19885
0.857143,-1.80655
0.857143,-0.658635
0.857143,-0.126543
0.857143,0.819656
0.857143,1.76887
0.857143,3.20205
0.857143,-3.19957
0.857143,-1.79853
0.857143,-0.701592
0.857143,-0.0681979
0.857143,0.788822
0.857143,1.77773
0.857143,3.20134
0.857143,-3.19947
0.857143,-1.79971
0.857143,-0.695708
0.857143,-0.0764496
0.857143,0.793439
0.857143,1.77645
0.857143,3.20144
0.857143,-3.19974
0.857143,-1.79661
0.857143,-0.710886
0.857143,-0.0549749
0.857143,0.781254
0.857143,1.77978
0.857143,3.20117
0.857143,-3.20046
0.857143,-1.78831
0.857143,-0.747668
0.857143,2.61672e-08
0.857143,0.747668
0.857143,1.78831
0.857143,3.20046
0.857143,-3.20134
0.857143,-1.77773
0.857143,-0.788822
0.857143,0.068198
0.857143,0.701592
0.857143,1.79853
0.857143,3.19957
0.857143,-3.20018
0.857143,-1.79151
0.857143,-0.734059
0.857143,-0.0208791
0.857143,0.760816
0.857143,1.78508
0.857143,3.20073
0.857143,-3.20046
0.857143,-1.78831
0.857143,-0.747668
0.857143,1.9111e-08
0.857143,0.747668
0.857143,1.78831
0.857143,3.20046
0.857143,-3.20117
0.857143,-1.77978
0.857143,-0.781254
0.857143,0.0549749
0.857143,0.710886
0.857143,1.79661
0.857143,3.19974
0.857143,-3.20205
0.857143,-1.76887
0.857143,-0.819656
0.857143,0.126543
